Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Las Cruces,New Mexico,https://www.las-cruces.org/1413/Annual-Reports,8/24/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maui County,Hawaii,,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menlo Park,California,https://data.menlopark.org/search?tags=Police,3/28/2023,sowdm,,Added,,,,,,Added,Added,,,,,,,,,Added,,,,,,,Added,,,,,,,,,,,,,,,,
Middle Township,New Jersey,,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Juliet,Tennessee,http://www.mjpd.org/433/Data-Initiative,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norristown,Pennsylvania,https://www.norristown.org/240/Police-Data-Initiative,3/28/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,
Oak Creek,Wisconsin,,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland County,Michigan,https://portal.arxcommunity.com/dashboards/community/mi-co-oakland-so,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearboan,Michigan,https://portal.arxcommunity.com/dashboards/community/mi-ci-dearborn-pd,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piqua,Ohio,,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsfield,Massachusetts,https://www.pittsfieldpd.org/open-data-portal/,3/28/2023,sowdm,,Added,,,,Added,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rancho Cucamonga,California,https://rcdata-regis.opendata.arcgis.com/search?q=police,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,California,https://www.transparentrichmond.org/browse?limitTo=datasets&q=police&sortBy=relevance,9/7/2022,sowdm,,,,,,,,Added,Added,Added,,,,,,,,,,,,,,,Added,,,,,,,,,,Added,,,,,Added,
Rutland,Vermont,http://www.rutlandcitypolice.com/open-data/,3/28/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,Added,,,,,,
Santa Clara County,California,https://data.sccgov.org/browse?q=police&sortBy=relevance,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,California,,9/7/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Rosa,California,https://data-santarosa.opendata.arcgis.com/search?q=police,3/28/2023,sowdm,,,,,,,,Added,,Added,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,Added,
St. John,Indiana,https://stjohnin.gov/PD/PDI/,3/28/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,Added,,,,,,,,,,,,Added,,,Added,,,,,,,,
Taunton,Massachusetts,,9/8/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone,Georgia,http://www.tyronepd.org/stats.html,9/8/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vacaville,California,"https://data-cov.opendata.arcgis.com/search?q=police, https://vacavilletransparencyportal.com/",9/8/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elgin,Illinois,https://epdopendata-cityofelgin.hub.arcgis.com/,11/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marcos,Texas,,12/29/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,California,https://gis-cityoffresno.hub.arcgis.com/search?q=police,1/3/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremont,California,"https://fremont-ca-open-data-cofgis.hub.arcgis.com/search?q=police, https://www.fremontpolice.gov/about-us/transparency-portal",1/3/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,Colorado,https://policedata.coloradosprings.gov/,3/28/2023,sowdm,,Added,,,,Added,,,Added,,,,,,,,,Added,,Added,Added,,,,,,,,,,,,,,Added,,,,,,
Bellingham,Washington,,1/3/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbana,Illinois,https://data.urbanaillinois.us/browse?limitTo=datasets&q=police&sortBy=relevance,1/17/2023,sowdm,,,,,,Added,,,,,,,,,,,,,,Added,,,,,,Added,,,,,Added,,,,,,,,,,
Champaign ,Illinois,,1/17/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Groton,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
St. Albans,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Hartford,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Windsor,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Norwich,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Essex,Vermont,https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance,1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Colchester,Vermont,"https://data.vermont.gov/browse?q=traffic%20stop&sortBy=relevance, https://www.colchestervt.gov/680/Fair-and-Impartial-Policing",1/17/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Dumfries,Virginia,data.dumfriesva.gov,3/28/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,
Everett,Washington,https://data.everettwa.gov/browse?limitTo=datasets&q=police&sortBy=relevance,3/28/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Monica,California,https://data.santamonica.gov/dataset?,1/17/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Grand Rapids,Michigan,https://data.grandrapidsmi.gov/browse?limitTo=datasets&q=police&sortBy=relevance,1/17/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard County,Maryland,https://opendata.howardcountymd.gov/browse?limitTo=datasets&q=police&sortBy=relevance,1/17/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant,South Carolina,https://data.tompsc.com/browse?q=police&sortBy=relevance,1/18/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Sonoma County,California,https://data.sonomacounty.ca.gov/browse?limitTo=datasets&q=police&sortBy=relevance,1/18/2023,sowdm,,,,,,,,Has something similar but different. Putting here for future consideration: https://data.sonomacounty.ca.gov/Public-Safety/Sonoma-County-Sheriff-s-Office-Event-Data/bpq8-s7gr,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Evanston,Illinois,https://data.cityofevanston.org/browse?category=Police&limitTo=datasets,4/5/2023,sowdm,,Added,,,,Added,,Added,Added,,,,,,,,,,Added,,,,,,,,,,,,Added,,,,,,,,,,
Albemarle County,Virginia,https://www.albemarle.org/government/police/virginia-community-policing-act-data/-folder-797#docan3077_4195_2473,3/6/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,Issue #78,,,,,,,,,,,,,,,,
Alameda County,California,https://data.acgov.org/search?collection=Dataset&tags=shr,9/18/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Arcata ,California,,9/18/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,California,https://open-belmontca.opendata.arcgis.com/search?tags=safety ; https://www.belmont.gov/departments/police/transparency,9/18/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitola,California,https://www.cityofcapitola.org/police/page/transparency,9/18/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlsbad,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa County,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culver City,California,https://data.culvercity.org/browse,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeryville,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eureka,California,https://www.eurekaca.gov/407/Transparency-Portal,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsborough ,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern County,California,https://www.kernsheriff.org/Transparency,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livermore,California,https://www.livermoreca.gov/departments/police/transparency-and-information,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Altos,California,https://www.losaltosca.gov/police/page/racial-and-identity-profiling-act-ripa-data,9/19/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,Issue #217,,,,,,,,,,,,,,,,
Marin County,California,"https://data.marincounty.org/browse?limitTo=datasets&q=sheriff&sortBy=relevance, https://www.marinsheriff.org/publications/data-statistics",9/19/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Mill Valley,California,https://cityofmillvalley.org/249/Transparency,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County,California,https://www.ocso.com/Office-of-the-Sheriff/Trust-Transparency-Dignity-Respect,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petaluma,California,"https://cityofpetaluma.org/police-department-data-statistics/, https://cityofpetaluma.org/open-data/",9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmont,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomona,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,California,https://riversideca.gov/transparency/data/,9/19/2023,sowdm,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Riverside County,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohnert Park,California,https://www.rpcity.org/cms/One.aspx?portalId=3037873&pageId=17201582,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento County,California,https://www.sacsheriff.com/pages/transparency.php,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco County,California,,9/19/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,California,,9/20/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,California,,9/20/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura County,California,https://venturacountydatadownloads-vcitsgis.hub.arcgis.com/search?q=police,9/20/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor,California,https://opendata.citywindsor.ca/ ; https://police.windsor.on.ca/services/open-data/Pages/default.aspx,9/20/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
