Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Norwich,Connecticut,https://www.norwichct.org/844/Open-Data-Portal,3/31/2022,sowdm,,,,,,,,,,,,,,,,,,,,,Issue #203,,,,,,,,,,,,,,Added,,,,,,
Owensboro,Kentucky,https://police.owensboro.org/information/police-data-initiative/,3/31/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,New York,https://data-rpdny.opendata.arcgis.com/,3/31/2022,sowdm,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,California,https://data.sfgov.org/browse?Department-Metrics_Publishing-Department=Police%20Department,1/13/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,Issue #131,,,,,,,,,,,,,,,,,,,,,
Cincinnati,Ohio,https://data.cincinnati-oh.gov/browse?category=Safety&tags=police,3/7/2023,sowdm,,,,,,,,Added,,Added,,,,,,,,,,,Added,,,,Added,,,,,,Added,,,,Added,,,,,,
Salt Lake City,Utah,http://www.slcpd.com/open-data/,3/31/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucson,Arizona,"https://gisdata.tucsonaz.gov/search?groupIds=b6a49faa168647d8b56e1a06bd53600f, https://policeanalysis.tucsonaz.gov/",8/15/2023,sowdm,,,,,,Added,,Added,,,,,,,,,,,,,,Added,Added,Added,,,,,,,Issue #80,,,,Issue #80,,,,,,
Los Angeles,California,https://data.lacity.org/browse?category=Public+Safety&limitTo=datasets,3/15/2023,sowdm,,Added,,,,Issue #131,,Added,,,,,,,,,,,,Issue #131,,,,,"Issue #131 – 1 dataset already included, I think",,,,,,,,,,,,,,,,
New Orleans,Louisiana,https://data.nola.gov/browse?category=Public+Safety+and+Preparedness&limitTo=datasets,3/15/2023,sowdm,,,,,,,,Added,,Added,,,,,,,,,,Added,,,,,Added,,,,,,,,,,Added,,,,,,
Orlando,Florida,https://data.cityoforlando.net/browse?category=Orlando+Police&limitTo=datasets,4/25/2022,sowdm,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,
Portland,Oregon,https://www.portland.gov/police/open-data,3/15/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,,Added,,,,,,,,,,,,,,Added,,,,,,
Portland,Maine,None,4/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,California,https://data.cityofsacramento.org/search?collection=Dataset&tags=police,3/15/2023,sowdm,,,,,,,,Added,Added,,,,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,
Seattle,Washington,https://data.seattle.gov/browse?category=Public+Safety&limitTo=datasets,3/15/2023,sowdm,,,,,,,,Added,,Added,,,,,,,,,,Added,Added,,,,,Added,,,,,,,,,Added,,,,,,
Vallejo,California,https://vallejo-open-data-covit.hub.arcgis.com/search?tags=safety%2Cpd,1/14/2023,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallkill,New York,https://wallkillpd.org/document-center/data.html,4/25/2022,sowdm,,,,,,,,,,,,,,,,,,Issue #48 and #78,,,,,,,Issue #48 and #78,,,,,,,,,,,,,,,,
North Bergen,New Jersey,,4/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,Pennsylvania,https://www.opendataphilly.org/group/ab08872a-b3a5-4362-a167-74b0acb6ccc1?groups=public-safety-group,1/7/2023,sowdm,,Added,,,,,,,,,Added,Added,,,Added,,,,,Added,Added,,,,Added,,,,,,,,,,,,,,,,
South Bend,Indiana,https://data-southbend.opendata.arcgis.com/search?groupIds=8f846cd64e2c40dc8839ec1b81e67f95,4/25/2022,sowdm,,,,,,,,,,Issue #78,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,
Tacoma,Washington,"https://geohub.cityoftacoma.org/, data.cityoftacoma.org",8/27/2023,sowdm,,,,,,,,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
